credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,credit_card,debt_consolidation,educational,home_improvement,major_purchase,small_business,not_fully_paid
0,0.1829,685.13,12.32385568,12.05,642,6330.041667,120830,90.5,2,0,1,0,0,0,0,0
1,0.1103,245.65,11.25504424,21.11,717,5587.958333,68356,71.6,2,1,0,0,0,0,0,0
1,0.1474,690.74,11.70501582,15.58,687,10619.95833,33287,44.6,1,0,0,0,1,0,0,0
1,0.0737,77.62,11.63509885,0.39,772,7260.0,2498,10.6,0,0,0,0,0,0,0,0
1,0.1316,57.41,9.546812609,10.11,697,3660.0,2246,97.7,2,0,0,1,0,0,0,0
1,0.0788,312.81,11.35040654,4.48,762,3750.041667,86,0.2,0,0,1,0,0,0,0,0
1,0.1218,319.68,10.71441777,3.84,752,1982.041667,0,0.0,5,0,1,0,0,0,0,0
1,0.1253,301.2,10.77561739,20.59,722,11100.04167,14379,89.3,0,1,0,0,0,0,0,0
1,0.1316,324.2,9.998797732,16.36,732,4139.958333,11246,93.7,0,0,0,0,1,0,0,0
1,0.1218,799.2,12.20607265,9.13,757,3810.041667,298,1.0,1,0,1,0,0,0,0,0
1,0.1253,602.4,11.53272809,16.42,707,7859.958333,11318,35.3,0,1,0,0,0,0,0,0
1,0.1379,272.61,11.00209984,10.54,682,7049.958333,12927,33.1,0,0,0,0,0,0,1,0
1,0.1025,323.85,11.1124479,15.17,717,8610.041667,8180,49.6,1,0,1,0,0,0,0,0
0,0.1392,409.65,11.28978191,8.36,717,2849.958333,10942,13.7,7,0,0,0,1,0,0,0
1,0.1426,411.67,11.50287513,3.83,762,6059.958333,10106,67.4,3,0,0,0,0,0,1,0
1,0.16,351.58,10.73639668,14.3,692,1984.958333,9729,98.3,0,0,1,0,0,0,0,0
1,0.0983,386.25,11.26446411,15.74,722,4379.0,28110,31.9,0,0,1,0,0,0,0,0
1,0.1148,316.5,10.97382039,10.99,717,3660.0,4431,17.3,2,0,0,0,0,1,0,0
1,0.0894,381.26,10.46561447,11.01,757,8579.958333,13819,36.9,0,0,1,0,0,0,0,0
1,0.0894,76.26,10.03407712,17.06,772,6390.958333,8043,29.2,0,0,0,0,0,0,0,0
1,0.0963,481.42,11.51292546,4.81,802,9637.958333,21267,33.9,1,0,0,0,0,0,1,0
1,0.1126,131.46,10.91508846,2.62,742,1537.958333,4109,23.2,0,0,0,0,0,1,0,0
1,0.1392,40.97,10.22557105,11.87,672,4916.041667,9228,93.2,0,0,0,0,1,0,0,0
1,0.1221,266.52,11.3736634,0.07,722,4949.958333,5,0.0,0,0,0,0,0,1,0,0
1,0.1379,211.27,10.59653473,9.0,682,5400.0,4480,81.5,3,0,1,0,0,0,0,0
1,0.0774,202.93,9.798127037,18.0,787,4110.041667,2816,13.2,0,0,1,0,0,0,0,0
0,0.0859,31.62,11.69524702,12.05,807,6149.958333,269726,4.3,0,0,0,0,1,0,0,0
1,0.1347,488.49,11.03488966,10.35,702,1829.958333,17499,60.0,0,1,0,0,0,0,0,0
0,0.16,114.27,9.798127037,20.2,662,1517.041667,1748,83.2,6,0,0,1,0,0,0,0
1,0.1253,602.4,11.35040654,18.96,727,6510.0,59861,92.2,0,0,1,0,0,0,0,0
1,0.16,281.26,11.40756495,6.03,702,6690.0,362,36.2,1,0,0,0,0,0,1,0
1,0.0774,312.19,10.83958091,7.98,777,3510.041667,696,15.5,0,0,0,0,1,0,0,0
1,0.1136,394.94,10.77895629,13.18,702,8910.041667,12844,54.0,1,0,1,0,0,0,0,0
1,0.08,219.36,11.08214255,5.26,762,3870.0,0,0.0,1,0,0,0,0,0,0,0
1,0.1704,713.49,11.51292546,12.65,702,4110.0,6939,31.4,3,0,0,0,0,0,1,0
1,0.1078,228.45,11.14908203,16.51,692,5009.041667,22157,98.0,0,1,0,0,0,0,0,0
0,0.1261,335.07,10.47107151,20.1,687,990.0,3590,65.3,6,0,1,0,0,0,0,0
0,0.1628,303.55,10.93310697,11.38,667,2520.0,9221,98.1,4,0,1,0,0,0,0,0
1,0.1461,144.8,11.23848862,15.28,667,3869.958333,15578,91.1,0,0,0,1,0,0,0,0
1,0.0963,192.57,11.17883639,9.49,777,3419.958333,257,3.6,0,0,0,0,0,0,0,0
1,0.1704,713.49,12.10071213,10.9,677,4860.0,51497,90.3,2,1,0,0,0,0,0,0
0,0.1418,102.8,10.40426284,22.79,657,1650.0,7958,106.1,0,1,0,0,0,0,0,0
1,0.1122,197.06,10.80972795,0.0,672,2519.0,0,0.0,1,0,1,0,0,0,0,0
1,0.1183,397.61,11.48246626,2.09,717,4590.041667,5652,22.3,0,0,1,0,0,0,0,0
0,0.1347,101.77,11.00209984,17.68,692,4860.041667,198,3.1,4,0,1,0,0,0,0,0
1,0.1148,494.53,11.28978191,0.66,752,2789.958333,513,7.0,3,0,0,0,0,1,0,0
1,0.1347,191.67,11.11542853,6.18,672,4950.041667,5333,47.2,1,0,1,0,0,0,0,0
1,0.1461,172.38,10.91508846,2.42,667,4050.0,2771,16.4,0,0,1,0,0,0,0,0
1,0.1096,176.69,10.96819829,15.43,707,2550.0,7366,42.8,2,0,1,0,0,0,0,0
1,0.0932,319.47,10.6214249,7.43,752,4079.958333,11314,37.1,2,0,1,0,0,0,0,0
1,0.1411,246.45,10.46321762,6.99,677,2640.0,10606,62.0,0,0,1,0,0,0,0,0
0,0.1355,190.18,10.57131693,6.77,657,725.0,4885,57.5,0,0,0,1,0,0,0,0
0,0.1565,188.93,10.61643736,3.71,662,13170.04167,1972,42.9,5,0,0,1,0,0,0,0
1,0.0894,95.32,12.07254125,17.22,722,7050.041667,72814,56.0,1,0,0,0,0,0,0,0
1,0.1126,492.95,11.8493977,13.52,747,4919.958333,29790,15.6,0,1,0,0,0,0,0,0
1,0.1726,429.41,11.16764253,2.71,667,5969.958333,3505,33.4,2,0,1,0,0,0,0,0
0,0.1222,249.9,11.09741002,12.11,677,5070.0,5319,106.4,0,1,0,0,0,0,0,0
0,0.0976,321.55,11.08201946,11.34,722,2970.0,4945,2.7,5,0,0,0,0,1,0,0
1,0.1136,394.94,10.42228135,16.82,712,1770.0416670000004,8169,64.8,0,0,1,0,0,0,0,0
1,0.1392,341.37,11.1124479,21.65,707,5550.041667,19641,86.5,0,0,1,0,0,0,0,0
1,0.1218,166.5,10.88743693,17.64,697,2442.958333,7398,37.9,0,0,0,0,0,0,0,0
1,0.0963,115.54,10.37349118,15.11,717,2753.958333,12811,41.5,1,1,0,0,0,0,0,0
1,0.1178,248.32,10.30895266,17.72,692,6270.0,6349,44.7,1,0,0,0,1,0,0,0
1,0.1183,546.71,10.96337634,17.44,727,4890.041667,24351,66.2,1,0,1,0,0,0,0,0
1,0.1704,89.19,10.81977828,13.66,692,3869.958333,11999,96.8,1,0,0,0,0,0,1,0
1,0.1442,687.66,11.47210347,7.09,707,4771.0,10047,70.3,0,0,1,0,0,0,0,0
1,0.1183,728.95,12.25486281,13.51,757,3814.041667,298,1.0,1,0,1,0,0,0,0,0
1,0.0859,252.89,10.75790288,9.45,752,6540.0,10887,41.4,2,0,0,0,0,0,0,0
1,0.1114,295.24,10.59663473,9.9,732,5460.0,9305,25.5,0,0,1,0,0,0,0,0
1,0.1284,168.09,10.49750477,11.59,707,1650.041667,4516,30.9,0,0,1,0,0,0,0,0
1,0.1253,60.24,10.23995979,15.21,677,2700.0,4293,66.0,2,1,0,0,0,0,0,0
1,0.1474,207.23,11.5211317,4.96,672,3930.0,3402,47.9,2,0,1,0,0,0,0,0
0,0.1367,850.44,11.60823564,23.05,702,3989.958333,238903,80.5,1,0,0,0,0,0,1,0
0,0.1734,644.8,11.40756495,25.59,687,4680.0,61915,86.2,1,0,1,0,0,0,0,0
1,0.1565,104.96,10.59663473,5.82,687,5550.0,7285,23.5,2,0,0,0,0,0,1,0
1,0.1148,296.72,10.1266311,16.7,722,3390.041667,1557,51.9,0,0,1,0,0,0,0,0
1,0.1287,538.14,10.91508846,17.93,717,4110.041667,24953,94.5,0,0,1,0,0,0,0,0
1,0.0712,92.8,11.44035477,0.0,812,8250.0,368,1.2,0,0,0,0,1,0,0,0
1,0.1316,290.43,10.73639668,7.98,702,3881.0,553,2.8,1,0,0,0,0,0,1,0
1,0.1324,253.58,10.30895266,13.44,667,1289.958333,9142,81.6,1,0,1,0,0,0,0,0
1,0.1148,327.22,10.71441777,12.67,732,2913.0,696,2.7,3,0,0,0,0,0,0,0
1,0.16699999999999998,319.52,10.91508846,6.83,662,1140.0,8419,65.8,0,0,1,0,0,0,0,0
1,0.1178,380.76,10.73116563,15.21,707,5039.958333,10197,75.5,0,0,1,0,0,0,0,0
1,0.1287,53.82,10.13459927,12.14,677,1980.0,10591,32.8,0,0,1,0,0,0,0,0
1,0.08,188.02,11.28983191,7.41,807,6630.0,1112,1.2,1,0,0,0,1,0,0,0
1,0.1148,280.24,9.862665558,14.06,717,2850.0,3317,62.6,0,0,0,1,0,0,0,0
1,0.0945,128.04,10.27505111,17.63,722,4320.0,3717,15.1,0,0,1,0,0,0,0,0
1,0.1221,204.89,10.28874995,22.2,707,2378.041667,15509,53.5,1,1,0,0,0,0,0,0
1,0.1461,577.46,11.65268741,10.12,747,3903.0,6341,21.4,0,0,0,0,0,0,1,0
1,0.157,525.17,11.35035948,20.44,672,5490.0,28511,56.7,1,0,1,0,0,0,0,0
1,0.0774,249.75,11.54244543,15.47,802,4620.958333,6498,11.6,2,0,0,0,0,0,0,0
0,0.1059,390.54,12.27373129,11.78,692,1470.0,921,14.6,16,1,0,0,0,0,0,0
1,0.1387,375.26,10.81985828,20.93,672,2340.041667,17436,93.2,0,0,1,0,0,0,0,0
1,0.0737,31.05,11.25631561,0.74,782,12407.0,2440,8.6,0,0,0,0,0,0,0,0
1,0.1126,328.64,11.00209984,12.2,762,3690.0,5264,28.8,2,0,1,0,0,0,0,0
1,0.0894,285.95,10.69194491,8.97,747,3907.041667,4051,13.6,1,0,0,0,0,0,0,0
1,0.0976,80.39,9.998797732,22.25,737,2404.041667,2574,10.5,1,0,0,0,0,0,0,0
1,0.1565,559.78,10.89087028,12.94,677,4560.041667,10728,91.7,2,0,1,0,0,0,0,0
1,0.1071,286.9,11.08980542,13.08,702,4379.958333,35098,51.5,2,0,1,0,0,0,0,0
1,0.08,188.02,10.59653473,14.58,767,5309.958333,3812,16.8,0,0,1,0,0,0,0,0
1,0.1114,393.65,10.59663473,16.71,752,5557.041667,12746,52.5,2,0,1,0,0,0,0,0
1,0.1008,84.0,10.23995979,14.57,702,2490.0,12979,31.0,0,0,1,0,0,0,0,0
1,0.1316,216.13,10.93310697,12.45,692,3749.958333,3981,62.2,1,0,0,0,0,0,0,0
1,0.1189,643.39,11.57115664,15.44,727,7680.0,61595,51.6,0,0,1,0,0,0,0,0
1,0.1229,133.42,10.20507253,23.52,712,1440.0,3573,30.8,0,0,1,0,0,0,0,0
1,0.1218,765.9,11.00209984,12.34,732,2760.041667,3075,28.0,1,0,1,0,0,0,0,0
1,0.1158,165.07,11.35040654,18.48,702,3809.958333,2591,74.0,1,0,1,0,0,0,0,0
1,0.145,516.32,11.22235924,24.61,682,2430.0,55632,80.7,3,0,1,0,0,0,0,0
1,0.1253,401.6,12.06681058,6.33,717,9120.0,38384,90.1,1,0,0,1,0,0,0,0
1,0.0705,95.79,11.28978191,10.56,772,12689.95833,5378,18.8,0,0,0,0,0,0,0,0
0,0.0988,233.53,11.73606902,7.97,727,4350.0,7248,40.5,4,0,1,0,0,0,0,0
0,0.1531,174.08,10.49127422,3.23,667,4770.0,2910,63.3,4,0,1,0,0,0,0,0
0,0.1191,497.58,11.08214255,19.66,702,1949.958333,24985,49.6,5,0,0,0,1,0,0,0
1,0.1474,690.74,11.184421400000002,10.43,687,3180.041667,13693,68.8,0,0,1,0,0,0,0,0
1,0.1392,348.2,11.00209984,9.48,682,6570.0,18393,71.6,2,1,0,0,0,0,0,0
1,0.1843,836.51,11.81303006,6.73,687,5819.958333,17606,37.9,3,0,0,0,0,0,1,0
1,0.0751,342.21,10.58405595,8.87,757,4290.041667,11157,45.0,0,1,0,0,0,0,0,0
1,0.1028,113.4,10.77895629,17.65,687,2070.0,3761,55.4,2,0,0,0,0,0,0,0
1,0.1357,441.6,10.42821608,21.76,692,6780.041667,24127,70.5,3,0,1,0,0,0,0,0
1,0.1474,345.37,10.69194491,18.3,667,4620.041667,10155,73.9,1,0,1,0,0,0,0,0
1,0.1183,256.79,9.952277717000001,17.43,707,2130.0,11212,44.5,1,0,1,0,0,0,0,0
0,0.1709,24.99,9.942708266,28.42,662,1208.041667,1878,22.6,3,0,0,0,0,0,0,0
1,0.0894,95.32,10.37349118,6.9,732,3450.0,11247,57.7,1,0,0,0,0,0,0,0
1,0.0775,93.67,11.73606902,2.14,762,8370.0,21050,1.0,0,0,0,0,1,0,0,0
1,0.1253,33.47,10.23995979,20.19,682,2460.0,1697,39.5,1,0,0,0,0,0,0,0
1,0.1158,495.21,10.645424900000002,10.4,742,3660.0,15680,44.7,0,0,1,0,0,0,0,0
1,0.0963,320.95,11.15625052,4.08,762,2700.041667,110,11.0,0,0,0,0,0,1,0,0
0,0.1126,249.77,11.43496392,2.98,727,2789.958333,13810,17.3,4,0,0,1,0,0,0,0
0,0.1362,81.59,10.77058804,15.53,647,1470.0,1233,35.2,1,0,1,0,0,0,0,0
1,0.16,457.05,11.41861479,23.89,662,2190.0,58686,80.8,2,0,1,0,0,0,0,0
1,0.0751,311.1,10.08580911,10.8,787,5520.0,663,1.7,3,0,1,0,0,0,0,0
1,0.1311,728.89,12.20607265,7.98,712,6330.041667,34804,79.6,0,1,0,0,0,0,0,0
1,0.1565,258.9,11.184421400000002,9.32,662,5040.0,5001,84.8,0,0,1,0,0,0,0,0
1,0.0859,221.28,10.81977828,6.17,742,4272.958333,6881,28.2,0,0,0,0,0,1,0,0
1,0.0945,456.94,11.81303006,11.18,737,3660.0,11188,56.0,1,1,0,0,0,0,0,0
1,0.1774,432.26,11.08214255,24.13,677,5100.0,19714,97.6,0,0,1,0,0,0,0,0
1,0.1183,298.21,11.15625052,10.83,712,2459.958333,9237,41.4,1,1,0,0,0,0,0,0
1,0.0963,154.06,11.77525896,7.38,727,5490.0,27399,41.1,1,0,0,0,0,0,1,0
1,0.1273,839.16,11.42954386,15.47,722,5708.041667,23251,70.7,0,0,1,0,0,0,0,0
1,0.1357,339.69,11.58988651,15.74,702,3990.0,23464,31.1,1,0,1,0,0,0,0,0
1,0.1287,605.4,10.71441777,21.09,707,4530.041667,12076,39.7,0,0,1,0,0,0,0,0
0,0.1426,171.53,11.22251969,9.56,682,10889.95833,2470,39.2,6,0,0,0,1,0,0,0
1,0.1114,500.26,11.59910316,8.69,752,3899.958333,4963,14.2,1,0,1,0,0,0,0,0
1,0.1273,402.8,11.47210347,2.51,697,3392.0,10051,41.0,1,0,1,0,0,0,0,0
1,0.1505,138.77,10.10217446,22.48,662,6870.041667,4624,67.0,0,0,0,0,0,0,0,0
1,0.1474,248.67,9.852194257999999,15.47,697,1260.041667,7249,47.1,0,0,1,0,0,0,0,0
1,0.1385,835.55,11.3409502,21.72,712,5250.041667,33313,74.4,0,0,1,0,0,0,0,0
1,0.0807,156.84,12.10071213,5.55,742,4019.0,40934,26.3,0,0,0,0,1,0,0,0
1,0.0788,306.55,10.77895629,7.95,742,3990.0,11723,34.5,0,0,1,0,0,0,0,0
1,0.07400000000000001,31.06,10.30895266,0.0,772,5729.958333,11108,46.5,0,0,0,0,1,0,0,0
1,0.1418,548.25,11.84934056,3.4,662,2610.0,15193,33.4,0,0,1,0,0,0,0,0
1,0.1322,229.85,11.25392155,10.59,707,4860.0,10730,95.8,0,0,1,0,0,0,0,0
1,0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79.0,1,0,1,0,0,0,0,0
1,0.1039,171.18,10.71441777,20.69,732,2610.0,5500,28.2,0,0,1,0,0,0,0,0
0,0.1249,100.35,11.08214255,14.25,667,2940.0,8143,60.3,8,1,0,0,0,0,0,0
1,0.1218,249.75,11.28978191,2.77,717,3630.0,653,19.8,2,0,0,0,0,0,0,0
1,0.0714,154.7,10.38899537,7.46,762,4920.041667,26110,40.4,2,0,0,0,0,1,0,0
1,0.1635,423.95,11.28978191,5.64,672,4084.0,7472,97.0,0,0,0,0,1,0,0,0
1,0.0988,322.11,11.15625052,6.24,727,3780.041667,12991,22.6,2,0,1,0,0,0,0,0
0,0.1292,100.97,10.59663473,15.73,662,1904.0,7784,65.4,24,1,0,0,0,0,0,0
1,0.1322,67.61,10.91508846,9.77,672,5250.0,1083,77.4,3,0,0,0,0,0,0,0
1,0.1114,360.84,11.38509209,8.35,762,5223.0,4397,48.9,0,0,0,0,0,0,0,0
0,0.1261,228.69,11.14186178,23.62,712,7440.041667,92929,97.7,0,0,1,0,0,0,0,0
1,0.0983,241.41,11.47210347,2.69,712,4709.0,1944,47.4,0,1,0,0,0,0,0,0
1,0.1287,201.8,10.27518903,10.51,707,4289.958333,1980,46.0,0,1,0,0,0,0,0,0
1,0.1568,189.01,10.94130541,20.87,677,4050.0,10249,96.7,0,0,1,0,0,0,0,0
1,0.1426,343.06,11.08214255,3.42,677,3530.041667,10141,47.4,0,0,1,0,0,0,0,0
1,0.08,225.63,11.32659589,5.54,762,4259.041667,438,0.8,3,0,0,0,0,0,0,0
1,0.1183,798.53,11.8493977,14.33,812,11708.0,346,0.7,0,0,0,0,0,1,0,0
1,0.0988,386.53,11.47210347,9.26,732,7290.0,10836,63.0,1,0,1,0,0,0,0,0
1,0.1253,234.27,10.858999,19.45,707,3818.041667,18310,56.7,0,0,1,0,0,0,0,0
1,0.0775,156.11,10.858999,9.55,767,12960.04167,4067,7.3,0,0,0,1,0,0,0,0
1,0.08,231.89,10.51867319,13.43,752,5790.0,6938,24.1,2,0,1,0,0,0,0,0
0,0.0863,284.66,11.05089001,0.29,737,360.0,76,7.6,1,0,0,0,0,0,0,0
1,0.1426,343.06,11.45635511,11.63,742,11549.95833,63567,70.2,3,0,0,0,0,0,1,0
1,0.1189,99.5,10.30895266,18.28,712,7020.0,14577,34.7,0,0,0,0,0,0,1,0
1,0.1316,67.55,10.27518903,15.39,722,1140.0,604,30.2,2,0,0,0,0,0,0,0
1,0.0863,142.33,11.2771525,7.53,722,5761.0,20237,32.7,2,0,1,0,0,0,0,0
1,0.0788,312.81,10.81977828,3.46,757,5160.0,4771,26.8,1,0,0,0,0,0,1,0
1,0.1183,99.41,10.4487146,20.94,697,2010.041667,5626,30.1,3,0,0,0,0,0,0,0
1,0.0932,159.74,10.75363848,5.05,792,5430.0,1767,14.7,0,0,0,0,0,0,0,0
1,0.0938,431.69,11.51292546,10.6,752,6964.041667,18640,44.9,0,1,0,0,0,0,0,0
0,0.1375,204.34,9.903487553,8.4,652,543.9583332999998,1421,71.7,3,0,1,0,0,0,0,0
1,0.0743,217.52,11.00209984,1.72,807,7230.0,3202,1.1,1,0,0,0,0,0,0,0
1,0.1134,87.19,11.40756495,17.25,682,3989.0,69909,51.1,1,0,0,0,1,0,0,0
1,0.0832,220.39,10.81977828,4.42,742,2009.958333,1098,7.1,0,0,0,0,0,0,0,0
1,0.0894,184.28,9.92329018,8.0,747,2971.0,995,4.2,1,0,0,0,0,0,0,0
1,0.1461,430.94,10.66802473,0.84,772,2820.0,425,6.6,2,0,0,0,0,0,1,0
1,0.1099,555.68,11.00209984,17.52,727,3900.041667,21070,32.4,0,0,1,0,0,0,0,0
0,0.1734,573.16,10.858999,10.82,647,2399.041667,13967,68.3,8,1,0,0,0,0,0,0
0,0.0743,77.69,11.10682015,10.36,787,5250.041667,0,1.3,5,0,0,0,0,0,0,0
1,0.1039,584.12,12.23076526,12.27,712,5549.958333,77034,32.3,2,1,0,0,0,0,0,0
1,0.1221,266.52,11.22524339,14.58,712,5730.041667,30692,92.4,1,0,1,0,0,0,0,0
0,0.1287,168.17,12.59473064,9.27,692,6330.0,602519,68.4,4,0,0,0,0,0,0,0
1,0.1025,712.47,11.23445167,15.46,762,5580.041667,17346,18.6,0,0,0,0,0,0,0,0
0,0.0807,78.42,11.28978191,0.09,727,6678.0,6,1.5,0,0,0,0,0,0,0,0
1,0.0774,130.34,10.46310334,8.98,792,7890.041667,1357,4.2,1,0,1,0,0,0,0,0
0,0.0743,93.23,11.28978191,0.39,797,4441.0,0,0.5,0,0,0,0,0,0,0,0
1,0.1459,460.11,10.93310697,12.19,677,3270.0,9410,72.4,0,0,1,0,0,0,0,0
1,0.1136,236.96,10.77895629,7.15,727,5400.041667,9379,35.7,1,0,1,0,0,0,0,0
1,0.1221,666.3,11.69524702,8.22,782,6450.0,3606,4.5,0,0,0,0,0,0,1,0
1,0.08,235.03,11.90494053,0.92,802,9299.958333,7914,6.5,1,0,0,0,0,1,0,0
0,0.1608,490.12,10.645424900000002,18.94,652,4139.958333,17059,82.4,1,0,1,0,0,0,0,0
1,0.0963,385.14,11.5228758,15.15,752,4350.0,19326,25.0,2,0,1,0,0,0,0,0
1,0.1347,237.46,10.858999,9.65,692,3678.0,17349,63.3,0,0,1,0,0,0,0,0
1,0.1148,494.53,10.69194491,12.19,742,2490.0,5737,29.4,0,0,1,0,0,0,0,0
1,0.1166,52.89,11.00209984,18.4,677,5370.0,926,4.5,3,0,0,1,0,0,0,0
1,0.1284,252.14,10.46321762,21.36,707,3419.958333,10638,61.8,0,0,1,0,0,0,0,0
1,0.1114,492.06,11.52781408,15.93,807,6270.0,0,0.0,2,1,0,0,0,0,0,0
